Legs;Seats;Leg ISY;Seat ISY;Booked Pax Net;Booked Pax ISY;Booked Pax Net End SY;AvrRev LLYC* END;Rev Est
891;110079;89;86;1169;46;62009;1116;43200000
202;32973;72;78;1066;48;25450;790;12800000
136;23730;99;99;2637;78;14306;1009;15842600
136;23397;0;0;926;0;0;890;5723000
547;91542;87;87;3501;55;64341;722;36400000
240;41139;76;82;2910;52;30925;965;24300000
96;16608;70;76;1831;48;14409;975;10380000
172;29106;86;93;957;41;19107;800;12107500
74;12762;87;104;1476;39;9207;1089;10680000
188;32184;71;80;1127;42;22739;715;12540000
132;20418;75;77;566;42;12830;918;7035000
16;2892;0;0;120;0;0;-;997500
70;12777;61;65;2908;68;12005;1294;13000000
100;16608;75;83;484;47;10878;615;6020000
528;88560;83;88;4145;66;57027;825;40000500
260;44805;71;71;7168;58;47536;949;29459000
564;95388;76;78;3969;50;77005;742;37740000
304;48444;66;75;1007;49;30426;1018;20200000
484;54526;54;48;16092;45;65115;1124;25500000
132;20962;48;50;6462;42;25267;796;§
124;20811;106;103;10936;100;14137;1016;14057750
118;19950;0;0;7438;0;0;896;10350000
322;51762;51;49;17438;45;66137;727;18755000
182;29946;59;62;12891;58;30403;972;15200000
82;14424;59;68;7294;68;14078;982;7457500
120;19674;61;65;5307;41;19269;806;6351000
68;11772;86;103;5029;65;8876;1097;7875000
138;22734;53;58;6775;46;22711;720;7302500
95;15507;55;59;3860;49;12405;924;5880000
16;2880;0;0;1038;0;0;-;1202500
57;10380;62;66;6188;67;11018;0;9963000
74;11853;56;60;2836;43;10224;1303;3645000
315;52168;49;51;19387;53;59075;619;25920000
209;35112;58;57;22888;63;45964;831;25920000
351;57001;48;47;20773;42;77848;955;20230000
187;28260;53;57;9202;49;29663;747;15184500
807;86417;73;61;5912;50;78683;1058;34000000
188;28674;59;59;3671;46;31715;816;10950000
124;21663;91;92;5785;72;17178;1055;15802500
154;25818;0;0;2913;0;0;1002;9064000
547;88272;70;68;7986;48;82690;699;27830000
240;39753;64;67;8345;53;39093;1003;20500000
114;19608;73;76;5856;62;19614;1089;11070000
174;29121;70;74;3009;43;24635;806;10260000
86;14700;96;115;3730;67;9686;1191;9987500
198;31644;61;65;3948;56;29786;757;8437500
126;20841;61;66;1879;45;14831;1041;6822000
16;2856;0;0;523;0;0;-;1295000
73;13185;63;65;6770;80;14251;0;20577000
114;18885;74;77;1337;35;14225;1418;4060000
542;89548;73;75;10196;63;72218;647;35487500
282;47094;67;66;15572;65;52851;863;30150000
545;90210;62;63;11608;57;95486;980;31320000
179;26685;40;42;3955;48;35520;683;17238000
768;104322;89;91;3752;54;67000;1185;32300000
239;38816;90;93;3396;54;29647;1018;12062000
113;20112;96;97;3141;65;14378;1237;13915000
149;26520;0;0;4216;0;0;1005;10800000
565;96990;94;96;6512;59;69625;862;26400000
255;45579;89;98;5154;56;34110;1142;20040000
109;19404;80;87;3444;60;16939;1125;10595000
182;32250;93;108;2202;51;20860;993;10275000
90;16338;98;126;3955;76;9885;1259;11331250
209;36642;87;97;3710;68;25301;819;8840000
140;23850;86;99;1380;47;13732;1527;7003000
16;2850;0;0;620;0;0;-;1140000
98;17739;89;91;7192;97;13545;1808;24000000
97;16755;77;87;1322;57;11302;1574;5153600
605;103710;102;110;6816;59;65779;935;34230000
256;45684;74;77;8752;70;42982;981;28500000
589;101157;87;89;7666;48;84884;1149;27548500
271;44934;72;84;2714;53;29386;734;17889000
